State,Month,Unemployment,Unemployment_Change,COVID-19_Deaths,State_Population,Covid_Deaths_per_100k
Alabama,1,2.7,0,0,"5,024,279",0
Alaska,1,6,0,0,"733,391",0
Arizona,1,4.5,0,0,"7,151,502",0
Arkansas,1,3.5,0,0,"3,011,524",0
California,1,3.9,0,0,"39,538,223",0
Colorado,1,2.5,0,0,"5,773,714",0
Connecticut,1,3.7,0,0,"3,605,944",0
Delaware,1,4,0,0,"989,948",0
Florida,1,2.8,0,0,"21,538,187",0
Georgia,1,3.1,0,0,"10,711,908",0
Hawaii,1,2.7,0,0,"1,455,271",0
Idaho,1,2.8,0,0,"1,839,106",0
Illinois,1,3.5,0,0,"12,812,508",0
Indiana,1,3.1,0,0,"6,785,528",0
Iowa,1,2.8,0,0,"3,190,369",0
Kansas,1,3.1,0,0,"2,937,880",0
Kentucky,1,4.3,0,0,"4,505,836",0
Louisiana,1,5.1,0,0,"4,657,757",0
Maine,1,3.1,0,0,"1,362,359",0
Maryland,1,3.3,0,0,"6,177,224",0
Massachusetts,1,2.8,0,0,"7,029,917",0
Michigan,1,3.8,0,0,"10,077,331",0
Minnesota,1,3.2,0,0,"5,706,494",0
Mississippi,1,5.5,0,0,"2,961,279",0
Missouri,1,3.5,0,0,"6,154,913",0
Montana,1,3.5,0,0,"1,084,225",0
Nebraska,1,3.9,0,0,"1,961,504",0
Nevada,1,3.6,0,0,"3,104,614",0
New Hampshire,1,2.6,0,0,"1,377,529",0
New Jersey,1,3.8,0,0,"9,288,994",0
New Mexico,1,4.8,0,0,"2,117,522",0
New York,1,3.8,0,0,"20,201,249",0
North Carolina,1,3.6,0,0,"10,439,388",0
North Dakota,1,2.3,0,0,"779,094",0
Ohio,1,4.1,0,0,"11,799,448",0
Oklahoma,1,3.3,0,0,"3,959,353",0
Oregon,1,3.3,0,0,"4,237,256",0
Pennsylvania,1,4.7,0,0,"13,002,700",0
Rhode Island,1,3.1,0,0,"1,097,379",0
South Carolina,1,2.4,0,0,"5,118,425",0
